DocNum	DocEntry	id_proyecto	Validador	id_deal
95	118	13242	U	13816.0
95	118	13243	U	13817.0
215208	269658	20553	U	21665.0
215270	269736	20559	U	21671.0
6315	9489	20607	C	
6316	9490	20608	C	
6317	9491	20609	C	
215337	269821	20610	C	
215360	269850	20611	C	
215362	269852	20612	C	
215375	269870	20613	C	
215406	269905	20614	C	
215413	269913	20615	C	
215419	269921	20616	C	
215427	269933	20617	C	
215439	269949	20618	C	
215440	269950	20619	C	
215445	269958	20620	C	
215455	269972	20621	C	
215485	270009	20622	C	
215498	270025	20623	C	
215502	270030	20624	C	
215504	270032	20625	C	
215338	269823	20626	C	
215344	269831	20627	C	
215371	269866	20628	C	
215372	269867	20629	C	
215420	269928	20630	C	
215421	269935	20631	C	
215450	269965	20632	C	
215474	269996	20633	C	
215476	270000	20634	C	
215511	270041	20635	C	
215472	270076	20636	C	
